anio,mes,departamento,municipio,indicador,atractivo,categoria,colegio,prestador,registro_nacional_de_turismo,direccion,pais_origen,valor
2017,5,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,14.0
2017,5,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2200.0
2017,6,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,26.0
2017,6,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,3952.0
2017,7,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,72.0
2017,7,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,5001.0
2017,8,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,37.0
2017,8,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,4064.0
2017,9,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,61.0
2017,9,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,2392.0
2017,10,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,122.0
2017,10,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,4144.0
2017,11,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,19.0
2017,11,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,4287.0
2017,12,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,68.0
2017,12,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,4178.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Alemania,1.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Argentina,1.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Australia,1.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Brasil,2.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Canadá,3.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Chile,2.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Ecuador,12.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,El Salvador,1.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,5.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Francia,1.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Guatemala,2.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,México,3.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,Perú,7.0
2018,1,CAQUETA,,Visitantes No Residentes por origen,,,,,,,República Dominicana,1.0
2018,1,CAQUETA,,Visitantes No Residentes total por departamento,,,,,,,,42.0
2018,1,HUILA,ACEVEDO,Visitantes a Parques Nacionales Naturales,,,,,,,,218
