departamento,municipio,rnt,razon_social,direccion
HUILA,LA JAGUA,58660,HOTEL LA LILIANA LA JAGUA,CALLE 7 NO 4-25 SAN FRANCISCO
HUILA,NEIVA,60914,HOTEL LA SEPTIMA VIP,CARRERA 7 NO. 2 - 21
HUILA,SAN AGUSTÍN,26101,HOTEL LAS TERRAZAS DE SAN AGUSTÍN S.A.S.,CALLE 6 N 12-42
HUILA,NEIVA,39394,HOTEL MASSAY,CARRERA 8 NO 10-25
HUILA,NEIVA,31199,HOTEL METROPOLITANO,CALLE 7 N 5 45
HUILA,LA PLATA,30780,HOTEL NOCHES PLATEÑAS,CARRERA 4 NO. 6-49
HUILA,NEIVA,51515,HOTEL NUEVO ASTORIA,CARRERA 3 BIS NO. 7-63 PASAJE CAMACHO
HUILA,VILLA VIEJA,68098,HOTEL OASIS DE LA TATACOA,CARRERA 3 #5-04
HUILA,NEIVA,42568,HOTEL ONIX,CARRERA 4 # 1G-53
HUILA,NEIVA,19057,HOTEL ORQUIDEA NEIVA,CALLE 12 3A 27
HUILA,NEIVA,31199,HOTEL METROPOLITANO,"CALLE 7 N 5 45"
HUILA,LA PLATA,30780,HOTEL NOCHES PLATEÑAS,"CARRERA 4 NO. 6-49"
HUILA,NEIVA,51515,HOTEL NUEVO ASTORIA,"CARRERA 3 BIS NO. 7-63 PASAJE CAMACHO"
HUILA,VILLA VIEJA,68098,HOTEL OASIS DE LA TATACOA,"CARRERA 3 #5-04"
HUILA,NEIVA,42568,HOTEL ONIX,"CARRERA 4 # 1G-53"
HUILA,NEIVA,19057,HOTEL ORQUIDEA NEIVA,"CALLE 12 3A 27"
HUILA,ALGECIRAS,84882,HOTEL PALMA REAL DE ALGECIRAS,"CALLE 4 NO. 3 - 36"
HUILA,LA PLATA,18612,HOTEL PORTAL DE VALENCIA,"CALLE 6 NO. 3-60"
HUILA,PITALITO,79450,HOTEL SAN PEDRO PITALITO,"CARRERA 4 # 8-36"
HUILA,NEIVA,83684,HOTEL SEVILLA,"CALLE 24 NO 5 BIS - 126"
HUILA,NEIVA,89577,HOTEL VILLA ANGEL,"CALLE 11 NO 6-62 NEIVA"
