anio,mes,departamento,municipio,atractivo,total_entr
2020,mayo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,0.0
2020,junio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,0.0
2020,julio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,0.0
2020,agosto,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,0.0
2020,septiembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,0.0
2020,octubre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,0.0
2020,noviembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,0.0
2020,diciembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,0.0
2021,enero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,0.0
2021,febrero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,0.0
2021,marzo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,11.0
2021,mayo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,0.0
2021,junio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,24.0
2021,julio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,8.0
2021,agosto,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,17.0
2021,septiembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,10.0
2021,octubre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,15.0
2021,noviembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,4.0
2021,diciembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,40.0
2022,enero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,68.0
2022,febrero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,11.0
2022,marzo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,4.0
2022,abril,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,37.0
2022,mayo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,54.0
2022,junio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,11.0
2022,julio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,47.0
2022,agosto,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,12.0
2022,septiembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,59.0
2022,octubre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,74.0
2022,noviembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,56.0
2022,diciembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,56.0
2023,enero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,74.0
2023,febrero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,9.0
2023,marzo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,15.0
2023,abril,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,57.0
2023,mayo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,34.0
2023,junio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,22.0
2023,julio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,41.0
2023,agosto,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,24.0
2023,septiembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,10.0
2023,octubre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,66.0
2023,noviembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,20.0
2023,diciembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,29.0
2024,enero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,27.0
2024,febrero,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,16.0
2024,marzo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,29.0
2024,abril,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,19.0
2024,mayo,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,45.0
2024,junio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,7.0
2024,julio,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,0.0
2024,agosto,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,0.0
2024,septiembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,27.0
2024,octubre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,41.0
2024,noviembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,40.0
2024,diciembre,Huila,Acevedo,Parque Nacional Natural Cueva de los Guacharos,26.0
2015,enero,Tolima,Ibagué,Parque Nacional Natural Nevados,6725.0
2015,febrero,Tolima,Ibagué,Parque Nacional Natural Nevados,1013.0
2015,marzo,Tolima,Ibagué,Parque Nacional Natural Nevados,2294.0
2015,abril,Tolima,Ibagué,Parque Nacional Natural Nevados,4015.0
2015,mayo,Tolima,Ibagué,Parque Nacional Natural Nevados,1594.0
2015,junio,Tolima,Ibagué,Parque Nacional Natural Nevados,3665.0
2015,julio,Tolima,Ibagué,Parque Nacional Natural Nevados,2841.0
2015,agosto,Tolima,Ibagué,Parque Nacional Natural Nevados,1978.0
2015,septiembre,Tolima,Ibagué,Parque Nacional Natural Nevados,1037.0
2015,octubre,Tolima,Ibagué,Parque Nacional Natural Nevados,2517.0
2015,noviembre,Tolima,Ibagué,Parque Nacional Natural Nevados,2534.0
2015,diciembre,Tolima,Ibagué,Parque Nacional Natural Nevados,2615.0
2016,enero,Tolima,Ibagué,Parque Nacional Natural Nevados,6762.0
2016,febrero,Tolima,Ibagué,Parque Nacional Natural Nevados,1143.0
2016,marzo,Tolima,Ibagué,Parque Nacional Natural Nevados,5312.0
2016,abril,Tolima,Ibagué,Parque Nacional Natural Nevados,1341.0
2016,mayo,Tolima,Ibagué,Parque Nacional Natural Nevados,2872.0
2016,junio,Tolima,Ibagué,Parque Nacional Natural Nevados,2843.0
2016,julio,Tolima,Ibagué,Parque Nacional Natural Nevados,4212.0
2016,agosto,Tolima,Ibagué,Parque Nacional Natural Nevados,2824.0
2016,septiembre,Tolima,Ibagué,Parque Nacional Natural Nevados,1882.0
2016,octubre,Tolima,Ibagué,Parque Nacional Natural Nevados,3635.0
2017,enero,Tolima,Ibagué,Parque Nacional Natural Nevados,8801.0
2017,febrero,Tolima,Ibagué,Parque Nacional Natural Nevados,2660.0
2017,marzo,Tolima,Ibagué,Parque Nacional Natural Nevados,3113.0
2017,abril,Tolima,Ibagué,Parque Nacional Natural Nevados,6104.0
2017,mayo,Tolima,Ibagué,Parque Nacional Natural Nevados,2200.0
2017,junio,Tolima,Ibagué,Parque Nacional Natural Nevados,3952.0
