departamento,municipio,categoria_grupo,rnt_count
HUILA,ACEVEDO,VIVIENDAS TURÍSTICAS,0
HUILA,ACEVEDO,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO,0
HUILA,ACEVEDO,AGENCIAS DE VIAJES,0
HUILA,ACEVEDO,GUIAS DE TURISMO,0
