corte,departamento_filtro,linea_filtro,impacto_filtro,lat,lon,departamento,total_proyectos,total_solicitado_fnt,pct_solicitado,total_contrapartida,pct_contrapartida,num_proyectos
departamento,HUILA,,,2.570143029,-75.58434836,0,35436990313.652061,32772609714.590363,0.92481357543405007,2664380599.0616903,0.075186424565949678,434
departamento,HUILA,,,-1.54622768,-71.50212858,1,,,,,,
