anio,mes,departamento,municipio,indicador,atractivo,categoria,colegio,prestador,registro_nacional_de_turismo,direccion,pais_origen,valor
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Ecuador,51.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,España,12.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,26.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Francia,13.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Guatemala,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Honduras,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Italia,5.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,México,27.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Panamá,16.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Países Bajos,9.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Perú,27.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Polonia,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Portugal,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Reino Unido,7.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,República Dominicana,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Sudáfrica,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Suecia,1.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Suiza,2.0
2018,1,HUILA,,Visitantes No Residentes por origen,,,,,,,Uruguay,1.0
2018,1,HUILA,,Visitantes No Residentes total por departamento,,,,,,,,295.0
2018,1,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,218.0
2018,2,HUILA,ACEVEDO,Visitantes a Parques Nacionales Naturales,,,,,,,,43
2018,2,HUILA,ACEVEDO,Visitantes extranjeros no residentes,,,,,,,,1
2018,2,HUILA,GIGANTE,Visitantes extranjeros no residentes,,,,,,,,1
2018,2,HUILA,LA PLATA,Visitantes extranjeros no residentes,,,,,,,,6
2018,2,HUILA,NEIVA,Llegadas internacionales,,,,,,,,136
2018,2,HUILA,NEIVA,Salidas internacionales,,,,,,,,155
2018,2,HUILA,NEIVA,Visitantes extranjeros no residentes,,,,,,,,192
2018,2,HUILA,NEIVA,llegadas pasajeros Nacionales,,,,,,,,10716
2018,2,HUILA,PALERMO,Visitantes extranjeros no residentes,,,,,,,,1
2018,2,HUILA,PITALITO,Visitantes extranjeros no residentes,,,,,,,,42
2018,2,HUILA,PITALITO,llegadas pasajeros Nacionales,,,,,,,,673
2018,2,HUILA,TESALIA,Visitantes extranjeros no residentes,,,,,,,,1
2018,2,HUILA,VILLAVIEJA,Visitantes extranjeros no residentes,,,,,,,,2
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Alemania,10.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Argentina,10.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Australia,1.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Austria,1.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Bolivia,2.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Brasil,4.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Canadá,4.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Chile,6.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,China,2.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Costa Rica,4.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Ecuador,85.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,España,4.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,38.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Francia,19.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Guatemala,5.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Irlanda,1.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Italia,8.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Japón,1.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,México,32.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Panamá,5.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Países Bajos,8.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Perú,25.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Portugal,3.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Reino Unido,6.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,República Checa,5.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,República Dominicana,1.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Rusia,1.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Suecia,1.0
2018,2,HUILA,,Visitantes No Residentes por origen,,,,,,,Suiza,4.0
2018,2,HUILA,,Visitantes No Residentes total por departamento,,,,,,,,296.0
2018,2,HUILA,Acevedo,Visitantes por atractivo,Parque Nacional Natural Cueva de los Guacharos,,,,,,,43.0
2018,3,HUILA,ACEVEDO,Visitantes a Parques Nacionales Naturales,,,,,,,,161
2018,3,HUILA,ALGECIRAS,Visitantes extranjeros no residentes,,,,,,,,2
2018,3,HUILA,CAMPOALEGRE,Visitantes extranjeros no residentes,,,,,,,,1
2018,3,HUILA,GUADALUPE,Visitantes extranjeros no residentes,,,,,,,,1
2018,3,HUILA,LA PLATA,Visitantes extranjeros no residentes,,,,,,,,4
2018,3,HUILA,NEIVA,Llegadas internacionales,,,,,,,,217
2018,3,HUILA,NEIVA,Salidas internacionales,,,,,,,,214
2018,3,HUILA,NEIVA,Visitantes extranjeros no residentes,,,,,,,,200
2018,3,HUILA,NEIVA,llegadas pasajeros Nacionales,,,,,,,,11325
2018,3,HUILA,PITALITO,Visitantes extranjeros no residentes,,,,,,,,38
2018,3,HUILA,PITALITO,llegadas pasajeros Nacionales,,,,,,,,833
2018,3,HUILA,RIVERA,Visitantes extranjeros no residentes,,,,,,,,2
2018,3,HUILA,,Visitantes No Residentes por origen,,,,,,,Alemania,5.0
