anio,mes,departamento,municipio,indicador,atractivo,categoria,colegio,prestador,registro_nacional_de_turismo,direccion,pais_origen,valor
2018,3,TOLIMA,ICONONZO,Visitantes extranjeros no residentes,,,,,,,,1
2018,3,TOLIMA,MARIQUITA,Visitantes extranjeros no residentes,,,,,,,,2
2018,3,TOLIMA,MARIQUITA,llegadas pasajeros Nacionales,,,,,,,,9
2018,3,TOLIMA,MELGAR,Visitantes extranjeros no residentes,,,,,,,,38
2018,3,TOLIMA,MURILLO,Visitantes extranjeros no residentes,,,,,,,,1
2018,3,TOLIMA,PRADO,Visitantes extranjeros no residentes,,,,,,,,1
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Alemania,15.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Argentina,19.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Australia,1.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Austria,2.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Brasil,7.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Bélgica,2.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Camerún,1.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Canadá,18.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Chile,13.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,China,2.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Costa Rica,6.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Cuba,4.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Dinamarca,1.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Ecuador,33.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,El Salvador,3.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,España,30.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,124.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Francia,6.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Guatemala,2.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Honduras,4.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Italia,6.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Japón,1.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,México,52.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Nicaragua,1.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Nueva Zelanda,1.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Panamá,15.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Países Bajos,2.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Perú,14.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Reino Unido,9.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,República Dominicana,4.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Rusia,2.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Suecia,4.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Suiza,3.0
2018,3,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Ucrania,1.0
2018,3,TOLIMA,,Visitantes No Residentes total por departamento,,,,,,,,408.0
2018,3,TOLIMA,Ibagué,Visitantes por atractivo,Parque Nacional Natural Nevados,,,,,,,7660.0
2018,4,TOLIMA,ALPUJARRA,Visitantes extranjeros no residentes,,,,,,,,3
2018,4,TOLIMA,CHAPARRAL,Visitantes extranjeros no residentes,,,,,,,,1
2018,4,TOLIMA,CHAPARRAL,llegadas pasajeros Nacionales,,,,,,,,13
2018,4,TOLIMA,ESPINAL,Visitantes extranjeros no residentes,,,,,,,,7
2018,4,TOLIMA,FALAN,Visitantes extranjeros no residentes,,,,,,,,1
2018,4,TOLIMA,FLANDES,Visitantes extranjeros no residentes,,,,,,,,2
2018,4,TOLIMA,FLANDES,llegadas pasajeros Nacionales,,,,,,,,28
2018,4,TOLIMA,HONDA,Visitantes extranjeros no residentes,,,,,,,,2
2018,4,TOLIMA,MARIQUITA,Visitantes extranjeros no residentes,,,,,,,,3
2018,4,TOLIMA,MARIQUITA,llegadas pasajeros Nacionales,,,,,,,,7
2018,4,TOLIMA,MELGAR,Visitantes extranjeros no residentes,,,,,,,,27
2018,4,TOLIMA,NATAGAIMA,Visitantes extranjeros no residentes,,,,,,,,1
2018,4,TOLIMA,ORTEGA,Visitantes extranjeros no residentes,,,,,,,,3
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Alemania,9.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Argentina,13.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Austria,3.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Bolivia,3.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Brasil,15.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Bulgaria,2.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Canadá,7.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Chile,13.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,China,2.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Costa Rica,4.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Cuba,6.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Ecuador,11.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,El Salvador,2.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,España,12.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Estados Unidos,82.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Francia,9.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Guatemala,1.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Iraq,1.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Italia,3.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,México,24.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Nicaragua,1.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Panamá,7.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Países Bajos,8.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Perú,11.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Polonia,1.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Portugal,2.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Reino Unido,6.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,República Dominicana,2.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Rusia,6.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Suiza,8.0
2018,4,TOLIMA,,Visitantes No Residentes por origen,,,,,,,Trinidad y Tobago,1.0
