columna,valor
pais_origen,Tailandia
pais_origen,Taiwán
pais_origen,Trinidad y Tobago
pais_origen,Turquía
pais_origen,Túnez
pais_origen,Ucrania
pais_origen,Uganda
pais_origen,Uruguay
pais_origen,Uzbekistán
pais_origen,Vanuatu
pais_origen,Vietnam
pais_origen,Zimbabue
pais_origen,nan
atractivo,Parque Nacional Natural Cueva de los Guacharos
atractivo,Parque Nacional Natural Nevados
atractivo,nan
categoria,AGENCIAS DE VIAJES
categoria,EMPRESAS DE TIEMPO COMPARTIDO Y MULTIPROPIEDAD
categoria,EMPRESAS DE TRANSPORTE TERRESTRE AUTOMOTOR
categoria,ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO
categoria,GUIAS DE TURISMO
categoria,OFICINAS DE REPRESENTACION TURÍSTICA
categoria,OPERADORES DE PLATAFORMAS ELECTRÓNICAS O DIGITALES DE SERVICIOS TURÍSTICOS
categoria,VIVIENDAS TURÍSTICAS
categoria,nan
colegio,CARLOS RAMAN REPIZO CABRERA
colegio,CONSERVATORIO DE IBAGUE INSTITUCION EDUCATIVA TECNICA
colegio,IE LICEO DE SANTA LIBRADA
colegio,INSTITUCION EDUCATIVA EL ROSARIO
colegio,INSTITUCION EDUCATIVA LA SALLE
colegio,INSTITUCION EDUCATIVA NORMAL SUPERIOR FABIO LOZANO
colegio,INSTITUCION EDUCATIVA RURAL PUERTO ARANGO
colegio,INSTITUCION EDUCATIVA RURAL TESALIA
colegio,INSTITUCION EDUCATIVA SUCRE
colegio,INSTITUCION EDUCATIVA TECNICA ALFONSO PALACIO RUDAS
colegio,INSTITUCION EDUCATIVA TECNICA AMBIENTAL COMBEIMA
colegio,INSTITUCION EDUCATIVA TECNICA LEPANTO
colegio,INSTITUCION EDUCATIVA TECNICA SUMAPAZ
colegio,INSTITUCION ETNOEDUCATIVA RURAL BILINGUE INGA MOCOA
colegio,LUIS EDGAR DURAN RAMIREZ
colegio,RODRIGO LARA BONILLA
colegio,SAN GERARDO
colegio,nan
colegio,CARLOS RAMAN REPIZO CABRERA
colegio,CONSERVATORIO DE IBAGUE INSTITUCION EDUCATIVA TECNICA
colegio,IE LICEO DE SANTA LIBRADA
colegio,INSTITUCION EDUCATIVA EL ROSARIO
colegio,INSTITUCION EDUCATIVA LA SALLE
colegio,INSTITUCION EDUCATIVA NORMAL SUPERIOR FABIO LOZANO
colegio,INSTITUCION EDUCATIVA RURAL PUERTO ARANGO
colegio,INSTITUCION EDUCATIVA RURAL TESALIA
colegio,INSTITUCION EDUCATIVA SUCRE
colegio,INSTITUCION EDUCATIVA TECNICA ALFONSO PALACIO RUDAS
colegio,INSTITUCION EDUCATIVA TECNICA AMBIENTAL COMBEIMA
colegio,INSTITUCION EDUCATIVA TECNICA LEPANTO
colegio,INSTITUCION EDUCATIVA TECNICA SUMAPAZ
colegio,INSTITUCION ETNOEDUCATIVA RURAL BILINGUE INGA MOCOA
colegio,LUIS EDGAR DURAN RAMIREZ
colegio,RODRIGO LARA BONILLA
colegio,SAN GERARDO
colegio,nan
direccion,50 METROS VÍA VEREDA LA ESTRELLA
direccion,BAJO MESITAS
direccion,CALLE 1 #5-11
direccion,CALLE 10 NO 12-09
direccion,CALLE 10 NO 4-39
direccion,CALLE 11 NO 6-62 NEIVA
direccion,CALLE 11 Nº 5-63 B. CENTRO
direccion,CALLE 12 3A 27
direccion,"CALLE 23 ENTRE CRA.14 Y 16 VARIANTE HONDA LA DORADA, HONDA, TOLIMA, COLOMBIA"
direccion,CALLE 24 NO 5 BIS - 126
direccion,CALLE 3 #1-03
direccion,CALLE 4 #7-69 VILLAVIEJA
direccion,CALLE 4 NO 13-40
direccion,CALLE 4 NO. 3 - 36
direccion,CALLE 5 # 25 18
direccion,CALLE 5 #1-50W
direccion,CALLE 5 8-82 ESQUINA
direccion,CALLE 5 N 6 - 70
direccion,CALLE 5 NO 1 82
direccion,CALLE 5 NO 12-45
direccion,CALLE 5 NO 23-48
direccion,CALLE 5 NO. 6 - 27
direccion,CALLE 6 N 12-42
direccion,CALLE 6 N 2-57
direccion,CALLE 6 NO. 3-60
direccion,CALLE 7 # 3-51
direccion,CALLE 7 N 5 45
direccion,CALLE 7 NO 4-25 SAN FRANCISCO
direccion,CARRERA 1 NO. 45 - 50
direccion,CARRERA 1 NO. 45-50
direccion,CARRERA 1 N° 45 - 50
direccion,CARRERA 10 # 12-21 BARRIO SAN ISIDRO
direccion,CARRERA 11 N 11 - 30
direccion,CARRERA 16 NO. 42-195
direccion,CARRERA 16 NO.42-195 CENTRO COMERCIAL SAN PEDRO PLAZA
direccion,"CARRERA 19 NO 1 A-13, SAN AGUSTÍN, HUILA- COLOMBIA"
direccion,CARRERA 1A NO. 45 - 50
direccion,"CARRERA 2 NO. 20-86 IBAGUE, TOLIMA, COLOMBIA"
direccion,CARRERA 3 #5-04
direccion,CARRERA 3 BIS NO. 7-63 PASAJE CAMACHO
direccion,CARRERA 3 NO 2-79
direccion,CARRERA 4 # 1G-53
direccion,CARRERA 4 # 8-36
direccion,CARRERA 4 5-46
direccion,CARRERA 4 NO. 3 - 33
direccion,CARRERA 4 NO. 5 - 33
direccion,CARRERA 4 NO. 6-36
direccion,CARRERA 4 NO. 6-49
direccion,CARRERA 4 NO. 7-56 CENTRO
direccion,CARRERA 5 5-45 CENTRO
direccion,CARRERA 5 A NO. 5-40
direccion,CARRERA 5 NO. 5-54
direccion,CARRERA 7 #2-41
direccion,CARRERA 7 A N 15 - 26
direccion,CARRERA 7 NO 10-99
direccion,CARRERA 7 NO 4-09 SUR
direccion,CARRERA 7 NO. 2 - 21
direccion,CARRERA 8 NO 10-25
direccion,CENTRO COMERCIAL ACQUA CARRERA 8 NO. 57 - 57 PRADOS DEL NORTE
direccion,"CL. 15 # 5-61, NEIVA, HUILA"
direccion,CR 5 5 24
direccion,CR 8 N 57-57 CC ACQUA POWER CENTER
direccion,CRA 4 # 4-43
direccion,CRA. 7 #2S 06
direccion,"FINCA EL MACO, VEREDA EL TABLÓN"
direccion,"FINCA EL VEGÓN, VEREDA EL MORTIÑÍ, ISNOS, HUILA"
direccion,"KILOMETRO 1 VÍA NEIVA, PALERMO, PALERMO, HUILA COLOMBIA"
direccion,"KILOMETRO 15 VÍA YAGUARÁ, PALERMO, PALERMO, HUILA, COLOMBIA"
direccion,KILÓMETRO 1 VÍA PALERMO
direccion,KILÓMETRO 3 VÍA AIPE BOGOTÁ
direccion,KILÓMETRO 3 VÍA TERMALES
direccion,"KM 1,5 VÍA ULLOA RIVERA"
direccion,KM 13 VÍA NEIVA- YAGUARA
direccion,KM 2 VÍA LA JAGUA
direccion,KM 2 VÍA SAN AGUSTÍN
direccion,KM 21 VÍA GIGANTE ZULUAGA
direccion,KM 22 VÍA PITALITO-SAN AGUSTÍN VEREDA EL PLAYÓN
direccion,KM 4 VEREDA LA CASCAJOSA DEL MUNICIPIO DE NATAGA
direccion,KM 5 VÍA ZULUAGA VEREDA CLAROS
direccion,KM1 VÍA DESIERTO URBANIZACION CAMPESTRE VISTA HERMOSA
direccion,LOTE 13 VILLA CAMPESTRE VISTA HERMOSA
direccion,TERMINAL DE TRANSPORTE LOCAL 189 ENTRADA NO. 2
direccion,TERMINAL DE TRANSPORTE OFICINA 205 PISO 2
direccion,TRANSVERSAL 21 # 3B - 49
direccion,VDA EL TABLÓN
direccion,"VEREDA AGUA CALIENTE RIVERA, HUILA, COLOMBIA"
direccion,VEREDA BAJO COROZAL
direccion,VEREDA EL MORTIÑO
direccion,VEREDA EL PORVENIR VIA AL MANANTIAL
direccion,VEREDA EL RODEO FINCA VILLA MERCEDES
direccion,VEREDA EL SALADO
direccion,"VEREDA EL SALADO, RIVERA, HUILA, COLOMBIA"
direccion,VEREDA LA CHAQUIRA
direccion,VEREDA LA CUCHILLA
direccion,VEREDA LA CUCHILLA KM 2 VÍA AL ESTRECHO
direccion,VEREDA LA ESTRELLA
direccion,VEREDA LAS QUEMADAS
direccion,VEREDA MORTIÑO
direccion,VEREDA PUEBLO NUEVO
direccion,VEREDA RIVERITA
direccion,VEREDA SALTO DE BORDONES
direccion,VEREDA TRES ESQUINAS
direccion,nan
